platform,title,url,price,discount,rating,reviews,scraped_at
amazon,,https://www.amazon.com/MSI-Codex-Gaming-Desktop-A8NVP-436US/dp/B0F15TM77B/ref=sr_1_1?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI&dib_tag=se&keywords=gaming&qid=1756684990&sr=8-1,"$2,080.99",0%,4.3,123,2025-09-01T03:03:35.718150
amazon,"CyberPowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-14700F 2.1GHz, GeForce RTX 5060 Ti 16GB, 16GB DDR5, 1TB PCIe 4.0 SSD, WiFi Ready & Windows 11 Home (GXiVR8040A17)",https://www.amazon.com/CyberPowerPC-i7-14700F-GeForce-Windows-GXiVR8040A17/dp/B0DW48GN42/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI&dib_tag=se&keywords=gaming&qid=1756684990&sr=8-2,"$1,219.99",0%,4.6,936,2025-09-01T03:03:35.718150
amazon,"Braided Headphone Splitter for Computer, 3.5mm Female to 2 Dual 3.5mm Male Earphones Port, Mic Y Audio Splitter Cable Compatible with Headset Microphone Gaming Computer Speaker Laptop(35cm / 14in)",https://www.amazon.com/Headphone-Splitter-Earphones-Compatible-Microphone/dp/B0F541MTTQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI&dib_tag=se&keywords=gaming&qid=1756684990&sr=8-3,$5.49,0%,4.5,26,2025-09-01T03:03:35.718277
amazon,"Amazon Basics 24 inch Gaming Monitor, FHD 1080P, 165Hz, VESA Compatible, Adaptive sync, 1ms Response, Black",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2MDEwMTQ4MDM3MTA1NDM5OjE3NTY2ODQ5OTA6c3BfYXRmOjMwMDM0MDU4ODU4MjYwMjo6MDo6&url=%2FAmazon-Basics-Compatible-Adaptive-Response%2Fdp%2FB0CP7TNX8C%2Fref%3Dsr_1_4_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI%26dib_tag%3Dse%26keywords%3Dgaming%26qid%3D1756684990%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Not Found,0%,4.5,270,2025-09-01T03:03:35.718277
amazon,"Corsair Vengeance a5100 Gaming PC – Liquid Cooled AMD Ryzen™ 7 9800X3D, NVIDIA® GeForce RTX™ 5090 GPU, 64GB Dominator Titanium RGB DDR5 Memory, 2+2TB M.2 SSD – Black/Silver",https://www.amazon.com/Corsair-Vengeance-a5100-Gaming-Dominator/dp/B0F8W92786/ref=sr_1_5?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI&dib_tag=se&keywords=gaming&qid=1756684990&sr=8-5,"$6,499.99",0%,Not Found,11,2025-09-01T03:03:35.718277
amazon,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home",https://www.amazon.com/ASUS-ROG-Strix-Gaming-Laptop/dp/B0DZZWMB2L/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI&dib_tag=se&keywords=gaming&qid=1756684990&sr=8-6,"$1,274.99",0%,4.6,81,2025-09-01T03:03:35.718277
amazon,"MSI Katana 15 HX 15.6” 165Hz QHD+ Gaming Laptop: Intel Core i9-14900HX, NVIDIA Geforce RTX 5070, 32GB DDR5, 1TB NVMe SSD, RGB Keyboard, Win 11 Home: Black B14WGK-016US",https://www.amazon.com/Katana-15-6-165Hz-Gaming-Laptop/dp/B0DZFVBQLK/ref=sr_1_7?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI&dib_tag=se&keywords=gaming&qid=1756684990&sr=8-7,"$1,499.99",0%,4.8,38,2025-09-01T03:03:35.718277
amazon,"Jun 30, 2025",https://www.amazon.com/RayNeo-JoyDock-Switch-with10000mAh-Gaming-Console/dp/B0FGCPTY8Z/ref=sr_1_8?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI&dib_tag=se&keywords=gaming&qid=1756684990&sr=8-8,$89.00,0%,3.3,30,2025-09-01T03:03:35.718277
amazon,"Blue Light Blocking Glasses - Fashion Square Eyeglasses, Anti UV Ray Computer Gaming Glasses Blue Blockers for Women/Men",https://www.amazon.com/Blue-Light-Blocking-Glasses-Eyeglasses/dp/B0D9HRSR11/ref=sr_1_9?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI&dib_tag=se&keywords=gaming&qid=1756684990&sr=8-9,$7.99,0%,4.4,3,2025-09-01T03:03:35.718277
amazon,"Mar 13, 2025",https://www.amazon.com/Xbox-Wireless-Gaming-Controller-Headsets-Console/dp/B0F1HX3WXX/ref=sr_1_10?dib=eyJ2IjoiMSJ9.nT6IE53AC-z9ZyNjetcZ9AqxQLgJqj86cpmVPVOgCWoZQHzoi75OjaL8b3Rs-6HlnHDfuZSljdVn0N8I95BEOTZ1-4qcBRxK9W8TKn6pMKZZIwWBYFAJSeZtpfQhq7ZbSOV9lELQ6TRQTCVHNoyM9qu8P8teCc86u8PCFOUPm7m1l1e0zqjouiDFNtPQNZKDGg7NRdvLI8NjN8nPGzYAhnOmJIh2uD57qQ10rTyQ3rpdcrczhhhj6-2g4DHf6UVF_zj2g_lGTiKk1EW9RSNtxCKqbVTaq88E1gHCy7ClnAU.35gBVtk3C5iJdcfsJV67pmThTNHQjrED-oefAZq8fVI&dib_tag=se&keywords=gaming&qid=1756684990&sr=8-10,$54.00,0%,4.6,13,2025-09-01T03:03:35.718277
